Author,CanonicalLink,Description,ISBN,ISBN Valid,ImageLink,Language,PublishedDate,Publisher,Subjects,Title,google_api_title,i
"Seneca, Lucius Annaeus, l'Ancien",https://play.google.com/store/books/details?id=m5qZAAAAIAAJ,,,,http://books.google.com/books/content?id=m5qZAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1932,Garnier frères,,Controverses ; et Suasoires /,Controverses ; et Suasoires,261
"Seneca, Lucius Annaeus, l'Ancien",https://play.google.com/store/books/details?id=m5qZAAAAIAAJ,,,,http://books.google.com/books/content?id=m5qZAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1932,Garnier,,Controverses ; et Suasoires /,Controverses ; et Suasoires,264
"Baudelaire, Charles",https://books.google.com/books/about/Oeuvres_Po%C3%A9sies_de_jeunesse_po%C3%A9sies_di.html?hl=&id=azA8xgEACAAJ,,2070108295,,,fr,1990,puis Gallimard; La Pléiade,,"Oeuvres / Poésies de jeunesse, poésies diverses ... ;","Oeuvres / Poésies de jeunesse, poésies diverses ... ;",269
"Quercy, Pierre",https://books.google.com/books/about/L_hallucination_artistique.html?hl=&id=fMupMQEACAAJ,"L'Hallucination artistique (la formule est de Gustave Flaubert) se présente comme une somme composée de 18 chapitres thématiques et/ou monographiques, consacrés à des écrivains, des artistes, et plus encore à des oeuvres. Le récit commence avec la naissance de la psychiatrie et la distinction de l'hallucination comme "" perception "" (et non plus comme pathologie) et s'achève avec un hommage au peintre allemand Sigmar Polke (1941-2010), dont l'oeuvre a prolongé les expérimentations hallucinatoires des artistes des années 1970 tout en s'inscrivant dans la grande tradition du surnaturel depuis Goya et Blake. Chaque chapitre est illustré d'un cahier iconographique qui reprend une partie des oeuvres mentionnées dans les textes. Un index des noms figure à la fin de l'ouvrage.",2952930295,,,fr,2012,F Alcan,Art and literature,L'hallucination /,L'hallucination,367
"Wieland, Karl, 1864-1936",https://books.google.com/books/about/Les_droits_r%C3%A9els_dans_le_Code_civil_sui.html?hl=&id=yo7dww-7E6oC,,,,http://books.google.com/books/content?id=yo7dww-7E6oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1914,M Giard et E Brière,droits réels--* droit civil--Suisse; Sachenrecht; Schweiz; Grundlagenwerk,Les droits réels dans le Code civil suisse /,Les droits réels dans le Code civil suisse,393
"Mooser, Michel",https://books.google.com/books/about/Variations_sur_le_droit_d_usage_et_d_hab.html?hl=&id=1XrMXwAACAAJ,,,,,fr,2003,M Mooser,droit d'habitation--Suisse; Wohnrecht; Schweiz,Le droit d'habitation : présentation générale fondée sur le droit d'habitation constitué à l'occasion d'actes translatifs de propriété convenus dans un contexte familial /,Le droit d'habitation,397
"Tuhr, Andreas von",https://books.google.com/books/about/Der_Allgemeine_Teil_des_Deutschen_B%C3%BCrge.html?hl=&id=G06KngEACAAJ,,3428163109,,http://books.google.com/books/content?id=G06KngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,2013-07-30,Duncker und Humblot,droit civil--Allemagne fédérale--[manuel],Der allgemeine Teil des deutschen bürgerlichen Rechts /,Der allgemeine Teil des deutschen bürgerlichen Rechts,398
"Burckhardt, Walther",https://play.google.com/store/books/details?id=tDM0AQAAMAAJ,,,,http://books.google.com/books/content?id=tDM0AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,1914,Stämpfli,droit constitutionnel--Suisse--[manuel]; Verfassungsrecht; Bundesrecht; Bundesverfassung; Schweiz; Textreproduktion; Kommentar(Werk),Kommentar der schweizerischen Bundesverfassung vom 29. Mai 1874 /,Kommentar der schweizerischen Bundesverfassung vom 29. Mai 1874,401
,https://books.google.com/books/about/Les_sources_du_droit_du_canton_de_Gen%C3%A8v.html?hl=&id=tNXEzgEACAAJ,,,,,fr,1927,HR Sauerländer,"Droit--Genève (Suisse, canton)--15e siècle; Droit--Genève (Suisse, canton)--16e siècle; Droit; Droit--Genève (Suisse, canton)--17e siècle; Histoire; Rechtsgeschichte; Rechtsquelle; kantonales Recht; Stadtrecht; Landschaft; Genève (Suisse, canton); Schweiz; Genf(Kanton); Genf(Stadt); Sources; [Sources]",Les sources du droit du canton de Genève = Die Rechtsquellen des Kantons Genf /,Les sources du droit du canton de Genève = Die Rechtsquellen des Kantons Genf,613
"Rivaz, Alice 1901-1998",https://books.google.com/books/about/La_Paix_des_ruches.html?hl=&id=ipCaEAAAQBAJ,"« Je crois que je n’aime plus mon mari ». Ainsi commence La Paix des ruches, œuvre pionnière sur la condition féminine qui a secoué en profondeur les lecteurs et lectrices suisses à sa parution en 1947. Alice Rivaz y déploie l’intime pensée d’une jeune femme piégée dans le mariage. Au fil des pages de son journal et de discussions avec d’autres femmes, collègues ou amies, qui expérimentent différentes situations amoureuses, Jeanne apprend peu à peu à voir le monde hors des traditions auxquelles elle s’est consciencieusement consacrée tant que durait l’amour conjugal. Dans ce plaidoyer d’une lucidité rare et toujours actuel, Alice Rivaz questionne le rapport entre les sexes et dénonce la domination masculine, sans dogmatisme ou discours idéologique. Alice Rivaz est née à Lausanne en 1901 et décédée à Genève en 1998. Au cours de son activité littéraire féconde en œuvres de tous types (nouvelles, romans, textes autobiographiques), elle s’est vouée à l’émancipation féminine et à la dénonciation des injustices sociales, devenant une figure du féministe romand d’avant-garde. Publié à Paris deux ans avant Le Deuxième sexe de Simone de Beauvoir (1949), son roman La Paix des ruches a ébranlé lectrices et lecteurs à sa parution en 1947.",9782889070770,,http://books.google.com/books/content?id=ipCaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,2022-11-10T00:00:00+01:00,Société de la Feuille d'Avis,Fiction,La paix des ruches : roman ; suivi de Comptez vos jours... /,La paix des ruches,633
