a,b,c,dprecision@10,d,precision@10
0.2,0.6,0.1,,0.1,0.1323807093646445
0.15,0.6,0.15,,0.1,0.1351620311303996
0.25,0.5,0.15,,0.1,0.1226460831844966
0.3,0.5,0.1,,0.1,0.1184485838224139
0.2,0.5,0.2,,0.1,0.1263587649910803
0.1,0.6,0.2,,0.1,0.1372671599898016
0.15,0.55,0.2,,0.1,0.1326613932125649
0.05,0.7,0.15,,0.1,0.1416177596325661
0.1,0.5,0.3,,0.1,0.1324317427915392
0.2,0.6,0.1,,0.1,0.13238070936464455
0.15,0.6,0.15,,0.1,0.13516203113039965
0.25,0.5,0.15,,0.1,0.1226460831844966
0.3,0.5,0.1,,0.1,0.11844858382241392
0.2,0.5,0.2,,0.1,0.12635876499108034
0.1,0.6,0.2,,0.1,0.13726715998980168
0.15,0.55,0.2,,0.1,0.13266139321256495
0.05,0.7,0.15,,0.1,0.14161775963256618
0.1,0.5,0.3,,0.1,0.13243174279153924
